dst_name,subject,activity,trial,camera,frame_index,time_sec,src_path
0001_S01_A01_T02_C1_F000030.png,S01,1,T02,C1,30,1.516,"/scratch/21376026/UPFall/Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera1/2018-07-04T12_04_39.227481.png"
0002_S01_A01_T02_C2_F000030.png,S01,1,T02,C2,30,1.516,"/scratch/21376026/UPFall/Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera2/2018-07-04T12_04_39.227481.png"
0003_S01_A10_T01_C1_F000150.png,S01,10,T01,C1,150,8.328,"/scratch/21376026/UPFall/Subject1/Activity10/Trial1/Subject1Activity10Trial1Camera1/2018-07-04T12_22_19.024723.png"
0004_S01_A10_T01_C2_F000430.png,S01,10,T01,C2,430,24.16,"/scratch/21376026/UPFall/Subject1/Activity10/Trial1/Subject1Activity10Trial1Camera2/2018-07-04T12_22_34.857268.png"
0005_S01_A10_T02_C2_F000380.png,S01,10,T02,C2,380,21.975,"/scratch/21376026/UPFall/Subject1/Activity10/Trial2/Subject1Activity10Trial2Camera2/2018-07-04T12_23_09.638171.png"
0006_S01_A10_T03_C1_F000120.png,S01,10,T03,C1,120,6.891,"/scratch/21376026/UPFall/Subject1/Activity10/Trial3/Subject1Activity10Trial3Camera1/2018-07-04T12_23_39.604727.png"
0007_S01_A11_T01_C1_F000950.png,S01,11,T01,C1,950,53.978,"/scratch/21376026/UPFall/Subject1/Activity11/Trial1/Subject1Activity11Trial1Camera1/2018-07-04T12_25_13.864906.png"
0008_S01_A11_T01_C2_F000690.png,S01,11,T01,C2,690,38.908,"/scratch/21376026/UPFall/Subject1/Activity11/Trial1/Subject1Activity11Trial1Camera2/2018-07-04T12_24_58.794879.png"
0009_S01_A11_T03_C2_F001010.png,S01,11,T03,C2,1010,59.766,"/scratch/21376026/UPFall/Subject1/Activity11/Trial3/Subject1Activity11Trial3Camera2/2018-07-04T12_27_31.997431.png"
0010_S01_A02_T02_C1_F000040.png,S01,2,T02,C1,40,1.998,"/scratch/21376026/UPFall/Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera1/2018-07-04T12_05_41.826518.png"
0011_S01_A02_T02_C2_F000030.png,S01,2,T02,C2,30,1.509,"/scratch/21376026/UPFall/Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera2/2018-07-04T12_05_41.337155.png"
0012_S01_A03_T03_C1_F000019.png,S01,3,T03,C1,19,1.015,"/scratch/21376026/UPFall/Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera1/2018-07-04T12_07_01.978733.png"
0013_S01_A03_T03_C2_F000019.png,S01,3,T03,C2,19,1.015,"/scratch/21376026/UPFall/Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera2/2018-07-04T12_07_01.978733.png"
0014_S01_A04_T01_C2_F000028.png,S01,4,T01,C2,28,1.518,"/scratch/21376026/UPFall/Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera2/2018-07-04T12_07_23.809529.png"
0015_S01_A04_T02_C1_F000020.png,S01,4,T02,C1,20,1.022,"/scratch/21376026/UPFall/Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera1/2018-07-04T12_07_42.282808.png"
0016_S01_A05_T01_C2_F000019.png,S01,5,T01,C2,19,1.016,"/scratch/21376026/UPFall/Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera2/2018-07-04T12_08_22.089222.png"
0017_S01_A05_T02_C1_F000018.png,S01,5,T02,C1,18,1.007,"/scratch/21376026/UPFall/Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera1/2018-07-04T12_08_40.206000.png"
0018_S01_A05_T02_C2_F000018.png,S01,5,T02,C2,18,1.007,"/scratch/21376026/UPFall/Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera2/2018-07-04T12_08_40.206000.png"
0019_S01_A06_T01_C1_F001010.png,S01,6,T01,C1,1010,53.227,"/scratch/21376026/UPFall/Subject1/Activity6/Trial1/Subject1Activity6Trial1Camera1/2018-07-04T12_10_16.647002.png"
0020_S01_A06_T02_C1_F001010.png,S01,6,T02,C1,1010,53.736,"/scratch/21376026/UPFall/Subject1/Activity6/Trial2/Subject1Activity6Trial2Camera1/2018-07-04T12_12_22.902658.png"
0021_S01_A06_T02_C2_F000110.png,S01,6,T02,C2,110,5.823,"/scratch/21376026/UPFall/Subject1/Activity6/Trial2/Subject1Activity6Trial2Camera2/2018-07-04T12_11_34.990089.png"
0022_S01_A06_T03_C2_F000730.png,S01,6,T03,C2,730,39.158,"/scratch/21376026/UPFall/Subject1/Activity6/Trial3/Subject1Activity6Trial3Camera2/2018-07-04T12_13_13.322674.png"
0023_S01_A07_T01_C1_F000160.png,S01,7,T01,C1,160,8.639,"/scratch/21376026/UPFall/Subject1/Activity7/Trial1/Subject1Activity7Trial1Camera1/2018-07-04T12_14_02.901170.png"
0024_S01_A07_T02_C1_F000500.png,S01,7,T02,C1,500,26.643,"/scratch/21376026/UPFall/Subject1/Activity7/Trial2/Subject1Activity7Trial2Camera1/2018-07-04T12_15_25.405380.png"
0025_S01_A07_T03_C1_F000470.png,S01,7,T03,C1,470,26.329,"/scratch/21376026/UPFall/Subject1/Activity7/Trial3/Subject1Activity7Trial3Camera1/2018-07-04T12_16_29.489080.png"
